site_id,err_p50_m,err_p95_m,n_fix,duration,used_sat_mean,cn0_mean,cn0_std,elev_mean,used_rate,hdop_cut_a_median,hdop_cut_b_median
A03,0.8891734180122565,6.499589342356217,719,330.834,24.547703180212014,37.66935471204189,5.722073158881983,56.08429319371728,0.5042571447429213,0.4749393739785753,0.4749393739785753
S13,1.118317696537051,16.65841323222754,720,331.866,19.683636363636364,38.119245033112584,5.979222662895572,63.23543046357616,0.43044469783352335,0.5179447098868005,0.5179447098868005
S15,1.9876771466695393,17.50725542520975,721,331.38,24.431372549019606,37.68316859006522,6.730807483816082,55.32990466633216,0.5316084289143772,0.43647211170800304,0.43647211170800304
A11,16.68019260346452,56.73679272558904,718,330.746,13.333333333333334,28.58391873278237,3.8121537649631185,52.776400367309456,0.30068337129840544,0.5832957650744524,0.5832957650744524
O02,0.7871125565256487,8.675259500008904,718,331.472,26.15753424657534,38.957610177745316,5.657722370916718,50.89481373265157,0.5515713134568896,0.44423009424514115,0.44423009424514115
O14,1.8095261512720235,26.187996640548942,720,329.879,26.773291925465838,37.76554077501446,5.414741161069347,52.67923655292076,0.5693118208758643,0.45851093723595826,0.45851093723595826
A09,1.0297948476781829,11.283237001911123,761,331.494,14.9125,35.20150490503027,6.804788714331095,57.62805259862242,0.3511690977057832,0.4880508805427971,0.4880508805427971
A05,6.289263965395605,13.726160616603034,715,329.65,17.432343234323433,38.386706959074424,6.212468148904976,60.22224140908306,0.4084209041540306,0.4807772897784116,0.4807772897784116
S10,2.5889223305469438,11.643277771586442,696,331.402,24.435064935064936,34.966244447264884,5.434257733830274,52.31361847950247,0.519072402661572,0.43984044177020054,0.43984044177020054
S08,2.0115281301379273,9.982418684002253,719,331.511,20.491408934707902,36.0262099533437,6.216525389622909,60.02908242612753,0.4364944674495961,0.46351759944783993,0.46351759944783993
S03,2.385972561205757,6.293221732351342,718,329.325,26.44923076923077,37.517821196660485,5.832192053542223,53.747564935064936,0.5576462980924669,0.4301177638386639,0.4301177638386639
O11,2.2212178154460522,12.190803635527539,715,331.001,27.701438848920862,37.11045728306937,5.484073088321522,52.09770243140754,0.5810758263123785,0.43150011733798427,0.43150011733798427
O07,1.7847427382434298,7.9123795046224625,721,329.997,21.66346153846154,38.61219690576653,5.953249734421049,56.34585091420534,0.4831147652374805,0.4670511664206707,0.4670511664206707
O12,2.297997215403278,21.453050758706283,719,330.604,20.603448275862068,37.21497021647538,7.3713596906658845,52.68792677611506,0.45543571759412427,0.43782627438088595,0.43782627438088595
A12,8.110485076313005,26.481720722792573,672,330.714,11.251677852348994,29.541651860077735,5.2075663735007875,48.22043309272626,0.2717260108630054,0.49044776757357755,0.49044776757357755
S05,5.075790017333212,18.699630695071793,691,329.627,26.711026615969583,34.9694928119609,6.413503800121154,47.59102932719954,0.5640975736343584,0.4255068997789007,0.4255068997789007
A01,1.270121166413021,22.345566485613432,720,329.559,17.57928802588997,38.73525484812082,7.1137532611928025,61.02762999828385,0.40899838562504387,0.5303535044151901,0.5303535044151901
A04,1.1866518981445955,37.67562228389225,713,329.54,16.02622950819672,37.87598031934645,6.284783038500528,51.58744894170071,0.3871756164186615,0.4664393080714057,0.4664393080714057
S11,1.2249697529808787,10.87638744011492,717,330.435,21.973333333333333,39.05144622297108,6.571175793841311,51.894411682111766,0.49575386328831966,0.4469012586553567,0.455979579395219
S07,0.21258981542555944,15.870365005009367,721,329.933,28.60436137071651,37.43272944498751,5.587425598766559,58.37764744216357,0.5979347967268477,0.48610074509485424,0.48610074509485424
O08,1.1018077416802918,16.759002989085527,716,328.728,24.093103448275862,38.62782424695045,5.3408438441400525,53.336320637291514,0.5260607647983238,0.4971163056331476,0.4971163056331476
O01,0.5542874200512165,20.486965520137993,718,330.187,21.04626334519573,38.35055800293686,5.862587076169553,55.398972099853154,0.4712150567395516,0.4407451998834174,0.4407451998834174
S12,1.0837189221552594,11.557108900275566,721,329.237,20.54,34.34958685028876,6.982272768908983,51.655560491633345,0.451252923488139,0.464396770922635,0.464396770922635
